00001,SHACKLE L/R - 3/16',1,250,,
00002,SHACKLE L/R - 1/4',1,1000,,SAMCO
00003,SHACKLE L/R - 5/16',1.2,1000,,SAMCO
00005,SHACKLE L/R - 5/8',8,1000,,SAMCO
00006,SHACKLE L/R - 3/4',12,1000,,SAMCO
00007,SHACKLE L/R - 1',22,1000,,SAMCO
00008,SHACKLE L/R - 1.1/4',32,1000,,SAMCO
00009,SHACKLE L/R - 1.3/8',,1000,,SAMCO
00011,SHACKLE S/S - 3/16',2,1000,,SAMCO
00012,SHACKLE S/S - 1/4',3,1000,,SAMCO
00013,SHACKLE S/S - 5/16',4,1000,,SAMCO
00014,SHACKLE S/S - 3/8',7,1000,,SAMCO
00015,SHACKLE S/S - 7/16',8,1000,,SAMCO
00016,SHACKLE S/S - 1/2',11,1000,,SAMCO
00017,SHACKLE S/S - 9/16',14,1000,,SAMCO
00018,SHACKLE S/S - 5/8',18,0,,SAMCO
00019,SHACKLE S/S - 3/4',28,0,,SAMCO
00020,SHACKLE S/S - 7/8',38,0,,SAMCO
00021,SHACKLE S/S - 1',48,0,,SAMCO
00022,THIMBLE S/S - 1/4',2,0,,SAMCO
00023,THIMBLE S/S - 5/16',3,0,,SAMCO
00024,THIMBLE S/S - 3/8',4,0,,SAMCO
00025,THIMBLE S/S - 7/16',6,0,,SAMCO
00026,THIMBLE S/S - 1/2',7,0,,SAMCO
00027,THIMBLE S/S - 5/8',12,0,,SAMCO
00028,THIMBLE S/S - 3/4',14,0,,SAMCO
00029,THIMBLE S/S - 7/8',26,0,,SAMCO
00030,THIMBLE S/S - 1',19.95,0,,SAMCO
00031,THIMBLE S/S - 1-1/4',,0,,SAMCO
00032,THIMBLE GALV - 7/16',1,0,,SAMCO
00033,THIMBLE GALV - 5/8',2.5,0,,SAMCO
00034,THIMBLE GALV - 3/4',6,0,,SAMCO
00035,THIMBLE GALV - 1',8,0,,SAMCO
00036,THIMBLE GALV - 1-1/2',,0,,SAMCO
00037,ACTION DEGREASER (CASE),56,0,,SNEE CHEMICAL
00038,RUST DISSOLVE,14,0,,SNEE CHEMICAL
00039,ENDALL RUST,65,0,,SNEE CHEMICAL
00040,PROTEK HD - 1 GAL,,0,,?
00041,SPUD GREASE,,0,,?
00042,OPEN CHAIN GEAR LUBRICANT,7.5,0,,?
00043,BLACK & YELLOW (SMALL),16,0,,?
00044,BLACK & YELLOW (LARGE),32,0,,?
00045,PROTEK HD - 5 GAL,,0,,?
00046,REFRIGERATION OIL - ISO-32,105,0,,JOHNSTONE
00047,WEATHER BARRIER MASTIC CP-10,,0,,?
00048,SODIUM,65,0,,?
00049,DIESEL ENGINE OIL - Mega Shrimp Boat SAE 40,60,0,,SOUTH TEXAS OIL
00050,HYDRAULIC OIL (5 GAL) - MEGA PREMIUM HYDRAULIC PLUS AW 68,55,0,,SOUTH TEXAS OIL
00051,FILTER - LP 2247,,0,,CARQUEST
00052,FILTER - FF211 -  BF584,11,0,,CARQUEST
00053,FILTER - LF667 - B7600,11,0,,CARQUEST
00054,FILTER - LF678 -  BT259,11.5,0,,CARQUEST
00055,FILTER - LF680 - BT287,11.5,0,,CARQUEST
00056,FILTER - LF691 - LFP4005 - B99,16,0,,CARQUEST
00057,FILTER - LF691A,18,0,,CARQUEST
00058,FILTER - LF3642 - B7144,15.5,0,,CARQUEST
00059,FILTER - FF5320 - BF7633,9,0,,CARQUEST
00060,FILTER - HF6243,,0,,CARQUEST
00061,FILTER - HF6802,,0,,CARQUEST
00062,FILTER - L3887F - BF7674,,0,,CARQUEST
00063,FILTER - PA1681-FN,,0,,CARQUEST
00064,FILTER - BF825,,0,,CARQUEST
00065,FILTER - 8-94321219-1 ISUZU OIL,,0,,CARQUEST
00066,PAINT - BLACK 801,,0,,BLP
00067,PAINT - 4002 LT BLUE SEA HAWK,,0,,BLP
00068,PAINT - 3441 RED SEA HAWK,,0,,BLP
00069,FLOAT - YELLOW 8',,0,,IMPORT
00070,FLOAT - ORANGE/PURPLE HARD 8',18,0,,IMPORT
00071,FLOAT - BULLET,16,0,,IMPORT
00072,WOODEN FLIPPER 12',3.5,0,,COMMODORE
00073,WOODEN FLIPPER 5',1,0,,COMMODORE
00074,WOODEN FLIPPER 6',1.2,0,,COMMODORE
00075,WOODEN KEEPER,0.75,0,,COMMODORE
00076,SPLIT LEADS 3OZ 7/16',4.5,0,,?
00077,SPLIT LEADS 4OZ 1/2',4.5,0,,?
00078,SPLIT LEADS 5OZ 9/16',4.5,0,,?
00079,MUD ROLLER 6',2.5,0,,IMPORT
00080,MUD ROLLER 9',4.5,0,,IMPORT
00081,NEEDLE - SHORT,1,0,,IMPORT
00082,NEEDLE - LARGE,1.5,0,,IMPORT
00083,KNIFE - STEAK,,0,,HERITAGE WHOLESALE
00084,KNIFE - DEXTER 3' WHITE WIDE ,,0,,HERITAGE WHOLESALE
00085,TWINE - GREEN,10,0,,TYTAN
00086,TWINE - WHITE,9,0,,TYTAN
00087,TWINE - PURPLE 1LB,15,0,,TYTAN
00088,TWINE - BRAIDED 2LB,25,0,,TYTAN
00089,HAT STRAW,5,0,,?
00090,HAT POLYESTER,5,0,,?
00091,STOOL,25,0,,CAU THONG
00092,BASKET - BLUE,5,0,,IMPORT
00093,BASKET - PURPLE (SMALL),15,0,,IMPORT
00094,BASKET - PURPLE (LARGE),19,0,,IMPORT
00095,DECK HANDLE WITH SCREW,8,0,,?
00096,SHOVEL - ICE,35,0,,IMPORT
00097,SHOVEL - ICE BREAKER,,0,,IMPORT
00098,BROOM,,0,,IMPORT
00099,ALUMINUM FISH NET FRAME,99,0,,DONOVAN
00100,PUSH STICK - ALUMINUM SHORT,,0,,IMPORT
00101,PUSH STICK - ALUMINUM LONG ,35,0,,IMPORT
00102,TRYNET HOOK S/S,35,0,,IMPORT
00103,CULLING RAKE,8.5,0,,IMPORT
00104,FISH EYE - ALUMINUM,32,0,,IMPORT
00105,SHACKLE L/R - 3/8',1.5,0,,SAMCO
