ALICIA KAYLA,ANCHOR SEAFOOD,,"PO BOX 796, PALACIOS, TX 77465",,,No,Due On Receipt
ANCHOR SEAFOOD,ANCHOR SEAFOOD,,"PO BOX 796, PALACIOS, TX 77465",,,No,Due On Receipt
APEKS AQUACULTURE,ZOTC,,,,,No,Due On Receipt
BIG BULL,PO BOYS DOCK,,"PO BOX 931, PALACIOS, TX 77465",(361) 972-3713,,No,Due On Receipt
BOWER SEAFOOD,BOWER SEAFOOD,,,,,No,Due On Receipt
C&P OIL FIELD,ANCHOR SEAFOOD,,"PO BOX 796, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT ANDY,TEXAS GULF SEAFOOD,,,,,No,Due On Receipt
CAPT ANTHONY,QUALITY SEAFOOD,,"PO BOX 685, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT ARNULFO,QUALITY SEAFOOD,,"PO BOX 685, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT BARBARA,GAR SEAFOOD,,"PO BOX 1234, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT BUBBA,GAR SEAFOOD,,"PO BOX 1234, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT CHRISTOPHER,QUALITY SEAFOOD,,"PO BOX 685, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT DOAN,ASIAN,,,,,No,Due On Receipt
CAPT EDDIE,GAR SEAFOOD,,"PO BOX 1234, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT EDWARD,QUALITY SEAFOOD,,"PO BOX 685, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT EG IV,PO BOYS DOCK,,"PO BOX 931, PALACIOS, TX 77465",(361) 972-3713,,No,Due On Receipt
CAPT GC,PO BOYS DOCK,,"PO BOX 931, PALACIOS, TX 77465",(361) 972-3713,,No,Due On Receipt
CAPT HW,PO BOYS DOCK,,"PO BOX 931, PALACIOS, TX 77465",(361) 972-3713,,No,Due On Receipt
CAPT JACK II,PO BOYS DOCK,,"PO BOX 931, PALACIOS, TX 77465",(361) 972-3713,,No,Due On Receipt
CAPT LUCAS,GAR SEAFOOD,,"PO BOX 1234, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT MARCUS,QUALITY SEAFOOD,,"PO BOX 685, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT MICHAEL,ASIAN,,,,,No,Due On Receipt
CAPT NICHOLAS,GAR SEAFOOD,,"PO BOX 1234, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT PHILIP,ASIAN,,,,,No,Due On Receipt
CAPT SCOTT,BAC THU,,", PORT ARTHUR, TX 77553",,,No,Due On Receipt
CAPT T&T,FAMILY,,,,,,Due On Receipt
CAPT T&V,FAMILY,,,,,,Due On Receipt
CAPT THANH IV,UNITED SEAFOOD,,"PO BOX 786, GALVESTON, TX 77553",,,No,Due On Receipt
CAPT TOM SEAFOOD,CAPT TOM SEAFOOD,,"1489 HOLSWORTH RD, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT TONY,FAMILY,,,,,No,Due On Receipt
CARLOS,MEXICAN,,,,,No,Due On Receipt
CHRISTIAN G,QUALITY SEAFOOD,,"PO BOX 685, PALACIOS, TX 77465",,,No,Due On Receipt
CRAZY HORSE,PO BOYS DOCK,,"PO BOX 931, PALACIOS, TX 77465",(361) 972-3713,,No,Due On Receipt
CRYSTAL AMANDA,W & W DOCK,,,,,,
DAWSON BLAZE,PO BOYS DOCK,,"PO BOX 931, PALACIOS, TX 77465",(361) 972-3713,,No,Due On Receipt
DOCTOR BILL,W & W DOCK,,"PO BOX 540, PALACIOS, TX 77465",(361) 972-2045,wallis.shrimp@yahoo.com,No,Due On Receipt
DONOVAN TIEN I,ASIAN,,,,,No,Due On Receipt
DONOVAN TIEN II,ASIAN,,,,,No,Due On Receipt
DWLAN,OTC,,,,,No,Due On Receipt
EDGAR & BETTY,PO BOYS DOCK,,"PO BOX 931, PALACIOS, TX 77465",(361) 972-3713,,No,Due On Receipt
EMMANUEL,QUALITY SEAFOOD,,"PO BOX 685, PALACIOS, TX 77465",,,No,Due On Receipt
ETHAN G,QUALITY SEAFOOD,,"PO BOX 685, PALACIOS, TX 77465",,,No,Due On Receipt
FATHER DAN,ANCHOR SEAFOOD,,"PO BOX 796, PALACIOS, TX 77465",,,No,Due On Receipt
FATHER MIKE,QUALITY SEAFOOD,,"PO BOX 685, PALACIOS, TX 77465",,,No,Due On Receipt
FERRY,LAGASSE MARINE WAYS,,"PO BOX 584, PALACIOS, TX 77465",(361) 972-6060,,No,Due On Receipt
