00001,???,0,0,0,0,0,UNKNOWN,,
00002,45 BL-110 5FT IDN VAPOR THERMOMETER,145,100,0,15,0,JOHNSTONE,9/25/2018,
00003,505 BUSHING - 5' THIN,199,70,0,10,0,IMPORT,9/25/2018,
00004,505 BUSHING - 7' THICK,210,83.5,0,10,0,IMPORT,9/25/2018,"WIDTH: 4.15"" ///HEIGHT: 7"""
00005,505 BUSHING - 7' THIN,210,78,0,10,0,IMPORT,9/25/2018,
00006,505 FRICTION BLOCK - 28',650,280,0,5,0,SSC,9/25/2018,
00007,505 SPRING - 3-1/2',98,49,0,10,0,SSC,9/25/2018,
00008,505 SPRING - 3-2/3',98,49,0,10,0,SSC,9/25/2018,
00009,505 WASHER BRASS,60,30,0,25,0,SSC,9/25/2018,
00010,505 WASHER STEEL,12,1.5,0,25,0,SSC,9/25/2018,
00011,ACTION DEGREASER (GAL),17,10.05,0,336,0,SNEE CHEMICAL,9/25/2018,
00012,NEW12,0,0,0,0,0,UNKNOWN,9/25/2018,
00013,ALUMINUM BRIGHTENER (GAL),19,11.7,0,20,0,SNEE CHEMICAL,9/25/2018,
00014,ALUMINUM FISH NET FRAME,30,15,0,5,0,IMPORT,9/25/2018,
00015,ALUMINUM POOL HOOK,94,19.5,0,10,0,HITECH PLASTIC,9/25/2018,
00016,ALUMINUM SLEEVE - 3_8'_,3,1.5,0,50,0,DONOVAN,9/25/2018,
00017,WATER PUMP - 3HP 1-1/2' 56C FRAME,341,221.52,0,0,0,BANJO,,
00018,ANCHOR - LARGE,950,653,0,0,0,IMPORT,,
00019,ANCHOR - SMALL,750,516,0,0,0,IMPORT,,
00020,ANCHOR ROLLER 6' STAINLESS,525,0,0,0,0,IMPORT,,
00021,ANNUNCIATOR - MURPHY ALARM,564.98,0,0,0,0,DONOVAN,,
00022,ANTENNA - A99,90,0,0,0,0,UNKNOWN,,
00023,ANTENNA - CABLE,2.25,0,0,0,0,UNKNOWN,,
00024,ANTENNA - VHF,850,0,0,0,0,UNKNOWN,,
00025,APRON - BROWN (HEAVY DUTY),16,12,0,0,1,HERITAGE,,
00026,APRON - GREEN (MEDIUM DUTY),11,0,0,0,1,HERITAGE,,
00027,AXE HATCHET,20,0,0,0,0,UNKNOWN,,
00028,BABIT (PER LBS),25,0,0,0,0,UNKNOWN,,
00029,BALL JOINT KIT - 1/4,11,0,0,0,0,UNKNOWN,,
00030,ROUND BAR SS - 5/8' (FT),3.5,2.81,0,0,0,REGIONAL STEEL,,
00031,BASKET - BLUE,5,0,0,0,0,IMPORT,,
00032,BASKET - ORANGE,15,0,0,0,0,IMPORT,,
00033,BASKET - OYSTER,98,0,0,0,0,IMPORT,,
00034,BASKET - PURPLE (LARGE),19,8.1,0,0,0,IMPORT,,
00035,BASKET - PURPLE (SMALL),15,0,0,0,0,IMPORT,,
00036,BATTERY - CON 8D (CORE RETURNED),201.99,144.98,1,0,0,POPPE,,
00037,BATTERY - CON 4D (CORE RETURNED),114.49,76.36,0,0,0,POPPE,,
00038,BATTERY CLAMP,7,0,0,0,0,UNKNOWN,,
00039,BEARING - THRUST - ACE - T201,106,54.8,0,0,0,MOTION,,
00040,BEARING - DODGE - P2BE300R (PIL BLK 023018) - 3',586,452.26,0,0,0,MOTION,,
00041,BEARING - DODGE - P2BE207R (PIL BLK 023013) - 2-7/16',518,293.79,0,0,0,MOTION,,
00042,BEARING - THRUST - ENDURO - T252,138,98.19,0,0,0,MOTION,,
00043,BEARING - HUB CITY - PB250URX1.75,85,0,0,0,0,MOTION,,
00044,BEARING - HUB CITY - PB250X1.25,60,22.69,0,0,0,MOTION,,
00045,BEARING - HUB CITY - PB250X2.00,42,34.97,0,0,0,MOTION,,
00046,BEARING - HUB CITY - PB250X2.25 ,90,50,0,0,0,MOTION,,
00047,BEARING - HUB CITY - PB2-7/16,175,0,0,0,0,MOTION,,
00048,BEARING - HUB CITY - PB350DRWX2.50,165,0,0,0,0,MOTION,,
00049,BEARING - HUB CITY - PB350URX1.00,45,0,0,0,0,MOTION,,
00050,BEARING - HUB CITY FB350URX3.00,250,0,0,0,0,MOTION,,
00051,BEARING - KML - FLANGEX2.25,125,0,0,0,0,MOTION,,
00052,BEARING - KML - UCF209X2.00,50,0,0,0,0,MOTION,,
00053,BEARING - KML - UCF211-32X2.00,75,0,0,0,0,MOTION,,
00054,BEARING - KML - UCF213-40X2.50,125,0,0,0,0,MOTION,,
00055,BEARING - KML - FLANGE 3,250,0,0,0,0,MOTION,,
00056,BEARING - DODGE - P2BE208R (PIL BLK 023014) - 2-1/2',557.91,293.79,0,0,0,MOTION, 2018-09-14,
00057,DODGE - GEARBOX (47Q30R21 REDUCER),2850,0,0,0,0,UNKNOWN,9/24/2018,
00058,BEARING - DODGE - FLANGE 1-3/4' (F4BE112R),299,228.92,0,0,0,MOTION, 2018-09-14,
00059,BEARING - THRUST -TIMKEN - T350,340,233,0,0,0,MOTION,,
00060,BEARING - THRUST -TIMKEN - T201,198,99,0,0,0,MOTION,,
00061,BEARING - THRUST -TIMKEN - T252,220,102.17,0,0,0,MOTION,,
00062,BEARING - TWINDISC - MA489,195,0,0,0,0,MOTION,,
00063,BEARING - TWINDISC - MA986,125,0,0,0,0,MOTION,,
00064,BELT - C195,320,0,180,0,0,UNKNOWN,,
00065,BELT - C210,344,0,288,0,0,MOTION,,
00066,BELT - C220,198,0,0,0,0,MOTION,,
00067,BELT - C225,269,0,0,0,0,MOTION,,
00068,BELT SUPPORT,12,0,0,0,0,WHOLESALE,,
