00001,???,00183,CHAIN  -  GALV - 5/16'
00011,ACTION DEGREASER (1 GAL),00184,CHAIN  -  GALV - 5/8'
00012,ACTION DEGREASER (CASE),00185,CHAIN  -  GALV - 7/16'
00013,ALUMINUM BRIGHTENER,00186,CHAIN  -  GALV - 7/8'
00034,BASKET - PURPLE (LARGE),00187,CHAIN  -  HIGH TEST GALV - 1/2'
00068,BELT SUPPORT,00188,CHAIN  -  HIGH TEST GALV - 3/4'
00070,BLACK & YELLOW (LARGE),00189,CHAIN  -  HIGH TEST GALV - 3/8'
00071,BLACK & YELLOW (SMALL),00190,CHAIN  -  HIGH TEST GALV - 7/16'
00131,CABLE CLAMP  -  GALV - 1',00191,CHAIN  -  HIGH TEST GALV - 7/8'
00132,CABLE CLAMP  -  GALV - 1/2',00192,CHAIN  -  SS - 1/2'
00133,CABLE CLAMP  -  GALV - 1/4',00193,CHAIN  -  SS - 1/4'
00134,CABLE CLAMP  -  GALV - 1-1/8',00194,CHAIN  -  SS - 3/8'
00135,CABLE CLAMP  -  GALV - 3/4',00195,CHAIN  -  SS - 3/8' (400' BARREL)
00136,CABLE CLAMP  -  GALV - 3/8',00196,CHAIN  -  SS - 5/16' (BARREL OF 275')
00137,CABLE CLAMP  -  GALV - 5/16',00197,CHAIN  -  SS - 5/16' (BARREL OF 275')
00138,CABLE CLAMP  -  GALV - 5/8',00198,CHAIN  -  SS - 5/8'
00139,CABLE CLAMP  -  GALV - 7/16',00199,CHAIN  -  SS - 7/16'
00140,CABLE CLAMP  -  GALV - 7/8',00200,CHAIN  -  SS - 7/8'
00141,CABLE CLAMP  -  SS - 1',00201,CHAIN  -  SS - 9/16'
00142,CABLE CLAMP  -  SS - 1/2',00202,CHAIN - 60 FULL LINK
00143,CABLE CLAMP  -  SS - 1/4',00203,CHAIN - 60 HALF LINK
00144,CABLE CLAMP  -  SS - 3/16',00204,CHAIN - GALV - 3/8 (200' BARREL)
00145,CABLE CLAMP  -  SS - 3/4',00205,CHAIN - GALV - HT - 5/16' (BARREL)
00146,CABLE CLAMP  -  SS - 3/8',00210,CHAIN STOPPER  -  SS - 1/2'
