00001,???,0,0,0,0,0,UNKNOWN,,
00002,45 BL-110 5FT IDN VAPOR THERMOMETER,145,100,0,15,0,JOHNSTONE,9/25/2018,
00003,505 BUSHING - 5' THIN,199,70,0,10,0,IMPORT,9/25/2018,
00004,505 BUSHING - 7' THICK,210,83.5,0,10,0,IMPORT,9/25/2018,"WIDTH: 4.15"" ///HEIGHT: 7"""
00005,505 BUSHING - 7' THIN,210,78,0,10,0,IMPORT,9/25/2018,
00006,505 FRICTION BLOCK - 28',650,280,0,5,0,SSC,9/25/2018,
00007,505 SPRING - 3-1/2',98,49,0,10,0,SSC,9/25/2018,
00008,505 SPRING - 3-2/3',98,49,0,10,0,SSC,9/25/2018,
00009,505 WASHER BRASS,60,30,0,25,0,SSC,9/25/2018,
00010,505 WASHER STEEL,12,1.5,0,25,0,SSC,9/25/2018,
00011,ACTION DEGREASER (GAL),17,10.05,0,336,0,SNEE CHEMICAL,9/25/2018,
00012,NEW NET - WHITE 65' (BAY),1450,0,0,0,0,MANUFACTURE,9/26/2018,
00013,ALUMINUM BRIGHTENER (GAL),19,11.7,0,20,0,SNEE CHEMICAL,9/25/2018,
00014,ALUMINUM FISH NET FRAME,30,15,0,5,0,IMPORT,9/25/2018,
00015,ALUMINUM POOL HOOK,94,19.5,0,10,0,HITECH PLASTIC,9/25/2018,
00016,ALUMINUM SLEEVE - 3_8',3,1.5,0,50,0,DONOVAN,9/25/2018,
00017,WATER PUMP - 3HP 1-1/2' 56C FRAME,341,221.52,0,1,0,BANJO,9/25/2018,test
00018,ANCHOR - LARGE,950,653,0,2,0,IMPORT,9/25/2018,
00019,ANCHOR - SMALL,750,516,0,2,0,IMPORT,9/25/2018,
00020,ANCHOR ROLLER 6' STAINLESS,525,225,0,5,0,IMPORT,9/25/2018,
00021,ANNUNCIATOR - MURPHY ALARM,564.98,260,0,2,0,DONOVAN,9/25/2018,
00022,NEW NEW - WHITE 60' (BAY),1425',0,0,0,0,UNKNOWN,9/26/2018,
00023,ANTENNA - SOLORCON RADIO A99,90,60,2,2,0,DONOVAN,9/25/2018,
00024,ANTENNA - CABLE (FT),2.25,0.9,5000,500,0,ANTENNA FARM,9/25/2018,
00025,ANTENNA - VHF,850,560,2,2,0,DONOVAN,9/25/2018,
00026,APRON - BROWN (HEAVY DUTY),16,12,60,12,1,HERITAGE,9/25/2018,
00027,APRON - GREEN (MEDIUM DUTY),11,5.5,60,12,1,HERITAGE,9/25/2018,
00028,AXE HATCHET,20,12.5,20,50,0,HERITAGE,9/25/2018,
00029,BABIT (PER LBS),25,14,0,100,0,STELLAR,9/25/2018,
00030,NEW NET - WHITE 55' (BAY),1400,0,0,0,0,MANUFACTURE,9/26/2018,
00031,ROUND BAR SS - 5/8' (FT),3.5,2.81,0,0,0,REGIONAL STEEL,9/25/2018,
00032,NEW32,0,0,0,0,0,UNKNOWN,9/25/2018,
00033,BASKET - BLUE,5,2.25,0,50,0,IMPORT,9/25/2018,
00034,NEW34,0,0,0,0,0,UNKNOWN,9/25/2018,
00035,BASKET - OYSTER,98,45,1,0,0,IMPORT,9/25/2018,
00036,BASKET - PURPLE (LARGE),19,8.1,0,200,0,IMPORT,9/25/2018,
00037,BASKET - PURPLE (SMALL),15,7.5,0,50,0,IMPORT,9/25/2018,
00038,BATTERY - CON 8D (CORE RETURNED),201.99,144.98,5,5,0,POPPE,9/25/2018,
00039,BATTERY - CON 4D (CORE RETURNED),114.49,76.36,5,5,0,POPPE,9/25/2018,
00040,BATTERY CLAMP,7,3.5,20,0,0,UGS,9/25/2018,
00041,BEARING - THRUST - ACE - T201,106,54.8,0,10,0,MOTION,9/25/2018,
00042,BEARING - DODGE - P2BE300R (PIL BLK 023018) - 3',586,452.26,0,4,0,MOTION,9/25/2018,
00043,BEARING - DODGE - P2BE207R (PIL BLK 023013) - 2-7/16',518,293.79,0,4,0,MOTION,9/25/2018,
00044,BEARING - THRUST - ENDURO - T252,138,98.19,0,10,0,MOTION,9/25/2018,
00045,BEARING - HUB CITY - PB250URX1.75,85,40,0,5,0,MOTION,9/25/2018,
00046,BEARING - HUB CITY - PB250URX1.25,60,22.69,0,5,0,MOTION,9/25/2018,
00047,BEARING - HUB CITY - PB250URX2.00,42,34.97,0,5,0,MOTION,9/25/2018,
00048,BEARING - HUB CITY - PB250URX2.25 ,90,50,0,5,0,MOTION,9/25/2018,
00049,BEARING - HUB CITY - PB250URX2-7-16',175,110,0,5,0,MOTION,9/25/2018,
00050,BEARING - HUB CITY - PB350DRWX2.50,165,95,0,5,0,MOTION,9/25/2018,
00051,BEARING - HUB CITY - PB350URX1.00,45,30,0,5,0,MOTION,9/25/2018,
00052,BEARING - HUB CITY - FB350DRWX3.00,250,218,0,5,0,MOTION,9/25/2018,
00053,BEARING - KML - FLANGEX2.25,125,0,0,0,0,MOTION,,
00054,BEARING - KML - UCF209X2.00,50,0,0,0,0,MOTION,,
00055,BEARING - KML - UCF211-32X2.00,75,0,0,0,0,MOTION,,
00056,BEARING - KML - UCF213-40X2.50,125,0,0,0,0,MOTION,,
00057,BEARING - KML - FLANGE 3,250,0,0,0,0,MOTION,,
00058,BEARING - DODGE - P2BE208R (PIL BLK 023014) - 2-1/2',557.91,293.79,0,0,0,MOTION, 2018-09-14,
00059,DODGE - GEARBOX (47Q30R21 REDUCER),2850,0,0,0,0,UNKNOWN,9/24/2018,
00060,BEARING - DODGE - FLANGE 1-3/4' (F4BE112R),299,228.92,0,0,0,MOTION, 2018-09-14,
