A & B SEAFOOD,ZOTC,1000,,,,No,Due On Receipt
ABERCROMBIE ENTERPRISES,ZOTC,2000,,,,No,Due On Receipt
ALICIA KAYLA,ANCHOR SEAFOOD,3000,"PO BOX 796, PALACIOS, TX 77465",,,No,Due On Receipt
ALL AMERICAN TURF,ZOTC,4000,,,,No,Due On Receipt
ALMA MARIE,,5000,,,,No,Due On Receipt
ANCHOR SEAFOOD,ANCHOR SEAFOOD,6000,"PO BOX 796, PALACIOS, TX 77465",,,No,Due On Receipt
ANGELA SUE II,ZOTC,7000,,,,No,Due On Receipt
ANH LAC,ZDOR,8000,,,,No,Due On Receipt
APEKS AQUACULTURE,ZOTC,9000,,,,No,Due On Receipt
ARNOLD'S SEAFOOD,ZDOR,10000,,,,No,Due On Receipt
BAMA EXPRESS,ZDOR,11000,,,,No,Due On Receipt
BIG BULL,PO BOYS DOCK,12000,"PO BOX 931, PALACIOS, TX 77465",(361) 972-3713,,No,Due On Receipt
BOWER SEAFOOD,BOWER SEAFOOD,13000,,,,No,Due On Receipt
BRIGHTON HUNTER,ZOTC,14000,"1104 BROADWAY ST, PORT LAVACA, TX 77979",,,No,Due On Receipt
BULKHEADS & BOATLIFTS,ZOTC,15000,,,,No,Due On Receipt
C&P OIL FIELD,ANCHOR SEAFOOD,16000,"PO BOX 796, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT ANDY,TEXAS GULF SEAFOOD,17000,,,,No,Due On Receipt
CAPT ANTHONY,QUALITY SEAFOOD,18000,"PO BOX 685, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT ARNULFO,QUALITY SEAFOOD,19000,"PO BOX 685, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT BARBARA,GAR SEAFOOD,20000,"PO BOX 1234, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT BUBBA,GAR SEAFOOD,21000,"PO BOX 1234, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT CHRISTOPHER,QUALITY SEAFOOD,22000,"PO BOX 685, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT DEDE,ZOTC,23000,,,,No,Due On Receipt
CAPT DJ,ZOTC,24000,,,,No,Due On Receipt
CAPT DOAN,ZCAP,25000,,,,No,Due On Receipt
CAPT EDDIE,GAR SEAFOOD,26000,"PO BOX 1234, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT EDWARD,QUALITY SEAFOOD,27000,"PO BOX 685, PALACIOS, TX 77465",,,No,Due On Receipt
CAPT GC,PO BOYS DOCK,28000,"PO BOX 931, PALACIOS, TX 77465",(361) 972-3713,,No,Due On Receipt
CAPT HW,PO BOYS DOCK,29000,"PO BOX 931, PALACIOS, TX 77465",(361) 972-3713,,No,Due On Receipt
CAPT JACK II,PO BOYS DOCK,30000,"PO BOX 931, PALACIOS, TX 77465",(361) 972-3713,,No,Due On Receipt
