lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	O ~1~ é escrito por Jean Lalonde usando a linguagem de programação`n<a href="http://ahkscript.org/">AutoHotkey</a>.`n`nTradução para o Alemão: Edgar "Fast Edi" Hoffmann`nTradução para o Francês: Jean Lalonde`nTradução para o Holandês: Pieter Dejonghe`nTradução para o Italiano: Riccardo Leone`nTradução para o Espanhol: kiketrucker`nTradução para Português (Brasil): Igor Rückert`nTradução para Chinês Tradicional e Simplificado: Jess Yang`nTradução para Português: Luis Neves`nDutch translation: Ric Roggeveen`nOutras traduções de idioma: (ajuda sempre bem-vinda)`nVerificação do inglês: (ajuda sempre bem-vinda)`n`nÍcones por: <a href="http://www.visualpharm.com">Visual Pharm</a>`nPrograma de instalação: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> por jrsoftware.org`nFontes AutoHotkey_L v~2~: <a href="https://github.com/JnLlnd/QuickAccessPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-~2~`nLicensed under the Apache License, Version 2.0 (the "License"). You may not use this file except in compliance with the License. You may obtain a copy of the License at:`n    http://www.apache.org/licenses/LICENSE-2.0`nUnless required by applicable law or agreed to in writing, software distributed under the License is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the License for the specific language governing permissions and limitations under the License.
lAboutText4	Suporte em <a href="http://www.quickaccesspopup.com">www.quickaccesspopup.com</a>
lAboutTitle	Sobre - ~1~ ~2~
lAboutUserComputerName	Nome de usuário: ~1~`nComputador: ~2~
lAlternativeMenuTrayTipCopyLocation	Selecione o favorito para copiar
lAlternativeMenuTrayTipEditFavorite	Selecione o favorito para editar
lAlternativeMenuTrayTipNewWindow	Selecione a pasta para abrir em uma nova janela
lAlternativeMenuTrayTipOpenContaining	Selecione o documento, aplicativo ou pasta favorita cuja pasta pai você deseja abrir
lAlternativeMenuTrayTipRunAs	Selecione o aplicativo para executar em modo elevado
lAppTagline	<a href="http://www.quickaccesspopup.com/what-should-i-know-about-quick-access-popup-before-starting/">Início Rápido</a> • <a href="http://www.quickaccesspopup.com/frequently-asked-questions/">Perguntas Frequentes</a> • <a href="http://www.quickaccesspopup.com">Suporte</a> (Inglês)
lContextAddFile	Adicionar Arquivo ao menu do Quick Access Popup
lContextAddFileXpress	Adicionar Arquivo ao menu Expresso do Quick Access Popup
lContextAddFolder	Adicionar Pasta ao menu do Quick Access Popup
lContextAddFolderXpress	Adicionar Pasta ao menu Expresso do Quick Access Popup
lContextAddShortcut	Importar atalho do Windows para o menu do Quick Access Popup
lContextShowMenu	Exibir menu do Quick Access Popup
