lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	~1~ foi escrito por Jean Lalonde usando a`nlinguagem de programação <a href="http://ahkscript.org/">AutoHotkey</a>.`n`nTradução Alemã: Edgar "Fast Edi" Hoffmann`nTradução Francesa: Jean Lalonde`nTradução Italiana: Riccardo Leone`nTradução Espanhola: kiketrucker`nTradução Brasileira: Igor Ruckert`nTradução Chinês Tradicional: Jess Yang`nTradução Portuguesa: Luis Neves`nDutch translation: Ric Roggeveen`nTradução em outros idiomas: (a ajuda é bem-vinda)`nRevisão do Inglês: (a ajuda é bem-vinda)`n`nÍcones por: <a href="https://icons8.com/">Icons8</a>`nInstalador: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> por jrsoftware.org`nAutoHotkey_L v~2~ sources: <a href="https://github.com/JnLlnd/QuickAccessPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-~2~`nLicensed under the Apache License, Version 2.0 (the "License"). You may not use this file except in compliance with the License. You may obtain a copy of the License at:`n    http://www.apache.org/licenses/LICENSE-2.0`nUnless required by applicable law or agreed to in writing, software distributed under the License is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the License for the specific language governing permissions and limitations under the License.
lAboutText4	Suporte em <a href="http://www.quickaccesspopup.com">www.quickaccesspopup.com</a>
lAboutTitle	Acerca do - ~1~ ~2~
lAboutUserComputerName	Utilizador: ~1~`nComputador: ~2~
lAlternativeMenuTrayTipCopyLocation	Seleccionar o favorito a copiar
lAlternativeMenuTrayTipEditFavorite	Seleccionar o favorito a editar
lAlternativeMenuTrayTipNewWindow	Seleccionar a pasta a abrir numa nova janela
lAlternativeMenuTrayTipOpenContaining	Seleccione o documento, programa ou pasta favorita cuja pasta principal pretende abrir
lAlternativeMenuTrayTipRunAs	Seleccione o programa para executar em modo elevado
lAppTagline	<a href="http://www.quickaccesspopup.com/what-should-i-know-about-quick-access-popup-before-starting/">Primeiros Passos</a> • <a href="http://www.quickaccesspopup.com/frequently-asked-questions/">Perguntas mais frequentes</a> • <a href="http://www.quickaccesspopup.com">Suporte</a>
lContextAddFile	Adicionar Ficheiro ao menu do Quick Access Popup
lContextAddFileXpress	Adicionar Ficheiro ao menu do Quick Access Popup (Expresso)
lContextAddFolder	Adicionar Pasta ao menu do Quick Access Popup
lContextAddFolderXpress	Adicionar Pasta ao menu do Quick Access Popup (Expresso)
lContextAddShortcut	Importar Atalho do Windows para o menu Quick Access Popup
lContextShowMenu	Mostrar o menu do Quick Access Popup
lContextShowMenuAternative	Mostrar o menu Alternativo do Quick Access Popup
lControlToolTipAlwaysOnTopOff	Mantem esta janela sempre visível em primeiro plano
lControlToolTipAlwaysOnTopOn	Para de manter esta janela sempre visível
lControlToolTipColumnBreak	Insere uma quebra de coluna na actual posição do menu
lControlToolTipMoveDown	Move o(s) favorito(s) seleccionado(s) para baixo
lControlToolTipMoveUp	Move o(s) favorito(s) seleccionado(s) para cima
lControlToolTipParentMenu	Vai para o menu principal
lControlToolTipPreviousMenu	Regressa ao menu anterior
lControlToolTipSeparator	Insere um separador de menu na posição actual
lControlToolTipSortFavorites	Ordena todos ou os favoritos seleccionados na lista
lControlToolTipTextSeparator	Insere um separador de texto na actual posição do menu
lCopyFavoritesToMenuOrGroup	Os menus e grupos não podem ser copiados.`n`nDeseja continuar sem copiar menus e grupos?
lCopyLocationCopiedToClipboard	Atalho ou URL copiado para a área de transferência
lDiagModeCaution	~1~ está a ser executado em modo diagnóstico.`n`nA informação sobre a execução do programa será armazenada no ficheiro:`n~2~`n`nNada será enviado sem o seu consentimento.`n`nDeseja continuar no modo disgnóstico?
