CAPT ANTHONY
20180713
00002,45 BL-110 5FT IDN VAPOR THERMOMETER,1,145.00,145.00,
00459,,3,7.50,22.50,
00934,SHACKLE LR - 1/2',20,3.50,70.00,
00940,SHACKLE LR - 5/16',20,1.20,24.00,
00935,SHACKLE LR - 1/4',34,1.00,34.00,
01100,TWINE - GREEN,9,10.00,90.00,
00962,SHRIMP SACK,1000,0.32,320.00,
01183,RUST DISSOLVE (BOX),1,68.00,68.00,
00987,SODIUM,1,69.00,69.00,
00256,CULLING RAKE,4,8.50,34.00,
00598,MYSTIK JT-6 GREASE (BOX),1,39.00,39.00,
00898,RUBBER BOOTS,4,30.00,120.00,TAX
00528,KNIFE - PARING WHITE,4,3.00,12.00,
00863,ROPE POLYDAC - 1/2' (SPOOL),1,125.00,125.00,
00869,ROPE POLYDAC - 3/8' (SPOOL),1,79.00,79.00,

1261.40
