MISS ADRIANNA
20180713
00461,GLOVE YELLOW - DOZEN,3,32.00,96.00,TAX
00987,SODIUM,1,69.00,69.00,
00898,RUBBER BOOTS,1,30.00,30.00,TAX
00962,SHRIMP SACK,500,0.32,160.00,
00598,MYSTIK JT-6 GREASE (BOX),1,39.00,39.00,
00279,ELECTRIC BLACK TAPE,3,1.00,3.00,
00599,MYSTIK OG-5 (BOX),5,2.50,12.50,
00135,CABLE CLAMP GALV - 3/4',2,4.50,9.00,
01183,RUST DISSOLVE (BOX),1,68.00,68.00,
00012,ACTION DEGREASER (CASE),1,68.00,68.00,
01100,TWINE - GREEN,3,10.00,30.00,
01014,STOOL,1,28.00,28.00,
00092,BLOCK GALV - SNATCH 8' ?? TON - ',2,110.00,220.00,
01009,STEEL HOSE CLAMP - 76-127MM,2,3.00,6.00,
,,,,0.00,

848.90
