MISS GABRIELLE
20180715
00962,SHRIMP SACK,1000,0.32,320.00,
00461,GLOVE - YELLOW (DOZEN),4,32.00,128.00,TAX
00599,MYSTIK OG-5 GREASE,1,2.50,2.50,
00637,OPEN CHAIN GEAR LUBRICANT,2,7.50,15.00,
00364,FILTER - FS19975 - BF7950D,8,22.50,180.00,
01100,TWINE - GREEN,4,10.00,40.00,
01099,TWINE - BRAIDED 2LB,2,25.00,50.00,
01101,TWINE - PURPLE 1LB,1,15.00,15.00,
00496,HOOK GALV 1.1/8',1,32.00,32.00,
00438,FREEON 404,1,190.00,190.00,
00215,COLD GALVANIZED SPRAY - RUS-KIL,1,8.00,8.00,
00732,PLASTIC PAIL BUCKET (6 GAL),2,12.00,24.00,
00001,???,0,0.00,0.00,
,,,,0.00,
,,,,0.00,

1015.06
