MISS WINNIE
20180313
01100,TWINE - GREEN,6,10.00,60.00,
00901,RUST DISSOLVE (BOX),2,16.00,32.00,
00011,ACTION DEGREASER (GAL),2,16.00,32.00,
01183,RUST DISSOLVE (BOX),1,64.00,64.00,
00962,SHRIMP SACK,500,0.32,160.00,
00975,SLICKER COAT JACKET - HEAVY DUTY,1,78.00,78.00,TAX
00987,SODIUM,1,65.00,65.00,
01075,TRYNET SPRING,1,250.00,250.00,
00637,OPEN CHAIN GEAR LUBRICANT,1,7.50,7.50,
01151,WOODEN KEEPER,40,0.75,30.00,
00946,SHACKLE SS - 1/4',14,3.00,42.00,
00950,SHACKLE SS - 5/16',10,4.00,40.00,
00148,CABLE CLAMP SS - 5/8',1,9.00,9.00,
00602,NEEDLE - LARGE,8,1.2,9.60,
00604,NEEDLE - MEDIUM,8,1.00,8.00,

893.54
