MORNING LORD
20170630
00046,BEARING - HUB CITY - PB250X2.25 ,1,140.00,140.00,
00061,BEARING - TIMKEN - T252,1,220.00,220.00,
00002,45 BL-110 5FT IDN VAPOR THERMOMETER,2,110.00,220.00,
01083,TRYNET SPRING,1,70.00,70.00,
01189,SOLENOID REPAIR KIT,3,60.00,180.00,
00988,SOLENOID COIL KIT,3,37.00,111.00,
00989,SOLENOID VALVE 5/8',4,160.00,640.00,
01179,ZINC BAR - 12LBS,2,32.00,64.00,
00006,505 FRICTION BLOCK,1,450.00,450.00,
00920,SHACKLE COMM - 1/2',20,1.50,30.00,
00925,SHACKLE COMM - 5/16',45,0.60,27.00,
00215,COLD GALVANIZED SPRAY - RUS-KIL,12,5.50,66.00,
01133,BUSHING - SFX1.5,1,25.00,25.00,
00624,NEW NET - WHITE 60',4,1400.00,5600.00,
01132,ANCHOR WINCH SS,1,9250.00,9250.00,

17093.00
